Raw Data,Notes,Major Category,Frame limits,Frame image name,CPC filename,Institution,Project,Station,Location,Country,Sitename,Site ID,Site Code,Latitude,Longtitude,Easting,Northing,Projection,Datum,Transect,Transect Direction,Transect Length,Depth,Quad,Habitat,Water Quality,Photo date,Photo time,Photographer,Camera,Lens,Analysis date,Analysis tech
CMR,,HC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1568.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1569.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,,HC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,,HC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1570.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1571.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,HC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1572.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1573.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWB,,TWB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1574.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,,AL,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,,OO,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1575.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,,AB,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,HC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,,OO,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1576.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1577.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,**,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1578.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,*,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA,,DC,,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.JPG,C:\CPCe_41_inst\Abdeens ROck\T3\GOPR1579.cpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
